fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-01,Enero,2022,Servicios Temporales,Boleto,0
2022-01-01,Enero,2022,Servicios Temporales,Prepago,0
2022-01-01,Enero,2022,Servicios Temporales,Gratuidad,0
2022-01-01,Enero,2022,Atenea,Boleto,2702
2022-01-01,Enero,2022,Atenea,Prepago,0
2022-01-01,Enero,2022,Atenea,Gratuidad,467
2022-01-01,Enero,2022,Ecoatenea,Boleto,0
2022-01-01,Enero,2022,Ecoatenea,Prepago,0
2022-01-01,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-01,Enero,2022,Ecobús,Boleto,5652
2022-01-01,Enero,2022,Ecobús,Prepago,305
2022-01-01,Enero,2022,Ecobús,Gratuidad,988
2022-01-01,Enero,2022,Expdirecto,Boleto,39
2022-01-01,Enero,2022,Expdirecto,Prepago,6
2022-01-01,Enero,2022,Expdirecto,Gratuidad,7
2022-01-01,Enero,2022,Expreso,Boleto,14831
2022-01-01,Enero,2022,Expreso,Prepago,967
2022-01-01,Enero,2022,Expreso,Gratuidad,2577
2022-01-01,Enero,2022,Nochebús,Boleto,195
2022-01-01,Enero,2022,Nochebús,Prepago,16
2022-01-01,Enero,2022,Nochebús,Gratuidad,16
2022-01-01,Enero,2022,Ordinario,Boleto,31262
2022-01-01,Enero,2022,Ordinario,Prepago,660
2022-01-01,Enero,2022,Ordinario,Gratuidad,5422
2022-01-01,Enero,2022,S/Metro,Boleto,18373
2022-01-01,Enero,2022,S/Metro,Prepago,767
2022-01-01,Enero,2022,S/Metro,Gratuidad,3184
2022-01-02,Enero,2022,Servicios Temporales,Boleto,0
2022-01-02,Enero,2022,Servicios Temporales,Prepago,0
2022-01-02,Enero,2022,Servicios Temporales,Gratuidad,0
2022-01-02,Enero,2022,Atenea,Boleto,2917
2022-01-02,Enero,2022,Atenea,Prepago,0
2022-01-02,Enero,2022,Atenea,Gratuidad,504
2022-01-02,Enero,2022,Ecoatenea,Boleto,0
2022-01-02,Enero,2022,Ecoatenea,Prepago,0
2022-01-02,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-02,Enero,2022,Ecobús,Boleto,11555
2022-01-02,Enero,2022,Ecobús,Prepago,611
2022-01-02,Enero,2022,Ecobús,Gratuidad,2028
2022-01-02,Enero,2022,Expdirecto,Boleto,0
2022-01-02,Enero,2022,Expdirecto,Prepago,0
2022-01-02,Enero,2022,Expdirecto,Gratuidad,0
2022-01-02,Enero,2022,Expreso,Boleto,29273
2022-01-02,Enero,2022,Expreso,Prepago,1817
2022-01-02,Enero,2022,Expreso,Gratuidad,5084
2022-01-02,Enero,2022,Nochebús,Boleto,410
2022-01-02,Enero,2022,Nochebús,Prepago,24
2022-01-02,Enero,2022,Nochebús,Gratuidad,32
2022-01-02,Enero,2022,Ordinario,Boleto,44801
2022-01-02,Enero,2022,Ordinario,Prepago,1126
2022-01-02,Enero,2022,Ordinario,Gratuidad,7772
2022-01-02,Enero,2022,S/Metro,Boleto,23196
2022-01-02,Enero,2022,S/Metro,Prepago,823
2022-01-02,Enero,2022,S/Metro,Gratuidad,4019
2022-01-03,Enero,2022,Servicios Temporales,Boleto,0
2022-01-03,Enero,2022,Servicios Temporales,Prepago,0
2022-01-03,Enero,2022,Servicios Temporales,Gratuidad,0
2022-01-03,Enero,2022,Atenea,Boleto,15258
2022-01-03,Enero,2022,Atenea,Prepago,0
2022-01-03,Enero,2022,Atenea,Gratuidad,2638
2022-01-03,Enero,2022,Ecoatenea,Boleto,800
2022-01-03,Enero,2022,Ecoatenea,Prepago,0
2022-01-03,Enero,2022,Ecoatenea,Gratuidad,138
2022-01-03,Enero,2022,Ecobús,Boleto,24898
2022-01-03,Enero,2022,Ecobús,Prepago,1833
2022-01-03,Enero,2022,Ecobús,Gratuidad,4327
2022-01-03,Enero,2022,Expdirecto,Boleto,1735
2022-01-03,Enero,2022,Expdirecto,Prepago,249
2022-01-03,Enero,2022,Expdirecto,Gratuidad,310
2022-01-03,Enero,2022,Expreso,Boleto,52483
2022-01-03,Enero,2022,Expreso,Prepago,5083
2022-01-03,Enero,2022,Expreso,Gratuidad,9126
2022-01-03,Enero,2022,Nochebús,Boleto,607
