fecha,mes,anio,tipo_pago,afluencia
2022-01-01,Enero,2022,Prepago,14251
2022-01-01,Enero,2022,Gratuidad,1806
2022-01-02,Enero,2022,Prepago,21875
2022-01-02,Enero,2022,Gratuidad,2259
2022-01-03,Enero,2022,Prepago,49290
2022-01-03,Enero,2022,Gratuidad,5774
2022-01-04,Enero,2022,Prepago,52538
2022-01-04,Enero,2022,Gratuidad,5467
2022-01-05,Enero,2022,Prepago,52288
2022-01-05,Enero,2022,Gratuidad,5389
2022-01-06,Enero,2022,Prepago,45249
2022-01-06,Enero,2022,Gratuidad,5061
2022-01-07,Enero,2022,Prepago,49522
2022-01-07,Enero,2022,Gratuidad,5778
2022-01-08,Enero,2022,Prepago,39905
2022-01-08,Enero,2022,Gratuidad,4024
2022-01-09,Enero,2022,Prepago,19928
2022-01-09,Enero,2022,Gratuidad,2449
2022-01-10,Enero,2022,Prepago,51392
2022-01-10,Enero,2022,Gratuidad,5122
2022-01-11,Enero,2022,Prepago,49582
2022-01-11,Enero,2022,Gratuidad,5487
2022-01-12,Enero,2022,Prepago,48819
2022-01-12,Enero,2022,Gratuidad,4798
2022-01-13,Enero,2022,Prepago,50242
2022-01-13,Enero,2022,Gratuidad,5484
2022-01-14,Enero,2022,Prepago,49853
2022-01-14,Enero,2022,Gratuidad,4927
2022-01-15,Enero,2022,Prepago,36974
2022-01-15,Enero,2022,Gratuidad,3487
2022-01-16,Enero,2022,Prepago,17137
2022-01-16,Enero,2022,Gratuidad,2281
2022-01-17,Enero,2022,Prepago,48149
2022-01-17,Enero,2022,Gratuidad,5122
2022-01-18,Enero,2022,Prepago,47330
2022-01-18,Enero,2022,Gratuidad,5657
2022-01-19,Enero,2022,Prepago,46954
2022-01-19,Enero,2022,Gratuidad,5092
2022-01-20,Enero,2022,Prepago,47687
2022-01-20,Enero,2022,Gratuidad,4828
2022-01-21,Enero,2022,Prepago,48504
2022-01-21,Enero,2022,Gratuidad,5133
2022-01-22,Enero,2022,Prepago,36580
2022-01-22,Enero,2022,Gratuidad,3563
2022-01-23,Enero,2022,Prepago,18632
2022-01-23,Enero,2022,Gratuidad,2433
2022-01-24,Enero,2022,Prepago,49145
2022-01-24,Enero,2022,Gratuidad,5008
